🕘️更新时间,#genre#
2025-12-22 10:02:03

📺全部频道,#genre#
CCTV-5,http://123.191.26.168:1111/rtp/232.0.0.171:1234
CCTV-5,http://106.118.20.104:8188/rtp/239.254.201.153:7206
CCTV-5,http://106.83.116.40:8188/rtp/235.254.198.54:1492
CCTV-5,http://58.46.71.35:8188/udp/239.76.254.214:9000
CCTV-5,https://hlsvda.cntv.kcdnvip.com/asp/adv/hls/1200/0303000a/3/default/e1970eaf0cc6450c835fc61c7308a1c9/1200.m3u8
CCTV-5,http://220.176.218.76:9000/udp/239.252.219.198:5140
CCTV-5,http://220.176.218.76:9000/udp/239.252.219.236:5140
CCTV-5,http://106.120.13.232:4022/rtp/225.1.8.89:8000
CCTV-5,http://106.59.2.119:55555/udp/239.200.200.20:9016
CCTV-5,http://113.119.27.173:58888/udp/239.77.0.170:5146
CCTV-5+,http://111.162.207.175:8686/rtp/225.1.1.121:5002
CCTV-5+,http://171.113.210.161:4022/rtp/239.254.96.234:9484
CCTV-5+,http://114.254.38.27:18888/rtp/239.3.1.130:8004
CCTV-5+,http://121.29.141.118:4022/rtp/239.253.92.82:8013
CCTV-5+,http://121.235.95.126:8199/rtp/239.49.8.18:9610
CCTV-5+,http://114.100.195.238:4022/rtp/238.1.78.237:7768
CCTV-5+,http://27.191.202.231:19999/rtp/239.254.200.46:8004
CCTV-5+,http://144.255.31.207:6688/udp/239.21.1.142:5002
CCTV-5+,http://58.46.71.35:8188/udp/239.76.253.168:9000
CCTV-5+,http://106.83.116.40:8188/rtp/235.254.198.122:1764
CCTV-5+,http://106.118.20.104:8188/rtp/239.254.200.46:8004
CCTV-5+,http://220.176.218.76:9000/udp/239.252.219.72:5140
CCTV-5+,http://106.59.2.119:55555/rtp/239.200.200.9:8004
CCTV-5+,http://113.119.27.173:58888/udp/239.77.1.31:5146
CCTV-5+,http://113.119.27.173:58888/udp/239.77.0.87:5146
CCTV-5+,http://115.171.216.84:4000/rtp/225.1.8.20:8004
CCTV-5+,http://115.171.80.250:1688/rtp/225.1.8.20:8004
CCTV-5+,http://115.171.216.39:4000/rtp/225.1.8.20:8004
CCTV-5+,http://171.104.106.97:50112/udp/239.81.0.101:4056
CCTV-5+,http://222.82.203.33:8188/udp/238.125.5.29:5140
CCTV-6,http://yp.qqqtv.top/1/api.php?id=CCTV-6HD&auth=666858
CCTV-6,http://111.162.207.175:8686/rtp/225.1.1.195:5002
CCTV-6,http://223.167.230.5:4022/rtp/239.45.1.70:5140
CCTV-6,http://121.29.141.118:4022/rtp/239.253.92.193:6058
CCTV-6,http://123.191.26.168:1111/rtp/232.0.0.172:1234
CCTV-6,http://171.113.210.161:4022/rtp/239.69.1.124:10382
CCTV-6,http://114.100.195.238:4022/rtp/238.1.78.172:7248
CCTV-6,http://27.191.202.231:19999/rtp/239.254.201.154:7207
CCTV-6,http://175.8.182.37:7878/udp/239.76.246.156:1234
CCTV-6,http://175.8.182.37:7878/udp/239.76.253.156:9000
CCTV-6,http://144.255.31.207:6688/udp/239.21.2.47:5002
CCTV-6,http://106.83.116.40:8188/rtp/235.254.198.55:1496
CCTV-6,http://106.118.20.104:8188/rtp/239.254.201.154:7207
CCTV-6,http://220.176.218.76:9000/udp/239.252.219.237:5140
CCTV-6,http://220.176.218.76:9000/udp/239.252.220.195:5140
CCTV-6,http://106.120.13.232:4022/rtp/225.1.8.84:8000
CCTV-6,http://106.59.2.119:55555/rtp/239.200.200.21:9020
CCTV-6,http://113.119.27.173:58888/udp/239.77.0.171:5146
CCTV-6,http://115.171.80.250:1688/rtp/225.1.8.84:8000
CCTV-6,http://116.235.57.19:4022/rtp/239.45.1.70:5140
CCTV-7,http://111.162.207.175:8686/rtp/225.1.1.138:5002
