🕘️更新时间,25/12/31-09:27:22

📺全部频道,#genre#
CCTV-5+,http://114.107.44.80:8188/rtp/238.1.78.237:7768
CCTV-5+,http://144.255.32.146:8288/udp/239.21.1.142:5002
CCTV-5+,http://106.116.240.126:9999/rtp/239.254.200.46:8004
CCTV-5+,http://115.171.216.39:4000/rtp/225.1.8.20:8004
CCTV-5+,http://27.191.202.133:19999/rtp/239.254.200.46:8004
CCTV-6,http://117.12.149.204:4022/rtp/225.1.1.195:5002
CCTV-6,http://111.162.204.64:8686/rtp/225.1.1.195:5002
CCTV-6,http://223.198.242.180:4000/rtp/239.253.64.246:5140
CCTV-6,http://220.176.218.76:9000/udp/239.252.220.195:5140
CCTV-6,http://220.176.218.76:9000/udp/239.252.219.237:5140
CCTV-6,http://144.255.31.40:6688/udp/239.21.2.47:5002
CCTV-6,http://106.116.240.126:9999/rtp/239.254.201.154:7207
CCTV-6,http://114.100.195.41:4022/rtp/238.1.78.172:7248
CCTV-6,http://114.107.44.80:8188/rtp/238.1.78.172:7248
CCTV-6,http://144.255.32.146:8288/udp/239.21.2.47:5002
CCTV-6,http://27.191.202.133:19999/rtp/239.254.201.154:7207
CCTV-6,http://115.171.80.250:1688/rtp/225.1.8.84:8000
CCTV-7,http://yp.qqqtv.top/1/api.php?id=CCTV-7HD&auth=666858
CCTV-7,http://117.12.149.204:4022/rtp/225.1.1.138:5002
CCTV-7,http://114.241.251.105:4022/rtp/239.3.1.61:8104
CCTV-7,http://111.162.204.64:8686/rtp/225.1.1.138:5002
CCTV-7,http://114.254.37.254:18888/rtp/239.3.1.61:8104
CCTV-7,http://223.198.242.180:4000/rtp/239.253.64.54:5140
CCTV-7,http://115.171.80.250:1688/rtp/225.1.8.7:8104
CCTV-7,http://114.107.44.80:8188/rtp/238.1.78.239:7784
CCTV-7,http://27.191.202.133:19999/rtp/239.254.200.159:6000
CCTV-7,http://144.255.32.146:8288/udp/239.21.1.152:5002
CCTV-7,http://111.113.88.146:2000/rtp/239.121.4.156:8920
CCTV-8,http://111.162.204.64:8686/rtp/225.1.1.196:5002
CCTV-8,http://114.241.251.105:4022/rtp/239.3.1.175:8001
CCTV-8,http://223.198.242.180:4000/rtp/239.253.64.247:5140
CCTV-8,http://220.176.218.76:9000/udp/239.252.220.196:5140
CCTV-8,http://114.254.37.254:18888/rtp/239.3.1.175:8001
CCTV-8,http://144.255.31.40:6688/udp/239.21.2.48:5002
CCTV-8,http://114.107.44.80:8188/rtp/238.1.78.173:7256
CCTV-8,http://114.100.195.41:4022/rtp/238.1.78.173:7256
CCTV-8,http://144.255.32.146:8288/udp/239.21.2.48:5002
CCTV-8,http://111.113.88.146:2000/rtp/239.121.4.154:8908
CCTV-8,http://115.171.80.250:1688/rtp/225.1.8.85:8000
CCTV-8,http://27.191.202.133:19999/rtp/239.254.201.155:7208
CCTV-9,http://117.12.149.204:4022/rtp/225.1.1.119:5002
CCTV-9,http://111.162.204.64:8686/rtp/225.1.1.119:5002
CCTV-9,http://114.241.251.105:4022/rtp/239.3.1.62:8112
CCTV-9,http://223.198.242.180:4000/rtp/239.253.64.76:5140
